customerID,monthly_charges,total_charges,tenure,addon_count,churn_label
6572-ADKRS,74.8,3548.3,46,1,No
5922-ABDVO,89.65,1761.05,19,3,Yes
6475-VHUIZ,54.25,1221.55,23,2,No
1324-NLTJE,55.0,757.1,15,2,Yes
4361-FEBGN,20.15,982.95,48,0,No
8393-DLHGA,95.9,2448.75,25,3,Yes
6769-DCQLI,105.0,5426.85,52,5,Yes
3018-TFTSU,81.7,858.6,12,2,Yes
2324-AALNO,24.55,1203.95,48,1,No
2300-RQGOI,20.05,741.5,38,0,No
6133-OZILE,35.2,607.3,18,2,No
7605-SNLQG,50.25,2221.55,45,1,No
5348-CAGXB,89.55,1021.75,12,3,No
0201-MIBOL,102.4,6471.85,66,4,No
7083-MIOPC,20.25,1566.9,72,0,No
0562-KBDVM,44.6,3058.15,70,4,No
1173-NOEYG,90.15,2423.4,27,3,No
7698-YFGEZ,20.0,20.0,1,0,No
9061-TIHDA,95.25,1233.65,13,3,Yes
0016-QLJIS,90.45,5957.9,65,7,No
7296-PIXQY,70.2,1046.5,14,0,No
9102-IAYHT,85.45,1451.6,17,2,Yes
6447-EGDIV,20.95,683.25,31,0,No
3460-TJBWI,24.2,609.05,24,1,No
3744-ZBHON,20.2,65.95,3,0,No
1092-GANHU,76.65,1313.55,17,1,Yes
3948-KXDUF,68.75,4447.55,66,5,No
7284-ZZLOH,53.3,2296.25,45,2,No
6745-JEFZB,91.5,3236.35,35,3,No
2606-PKWJB,40.25,1564.05,40,3,No
1624-WOIWJ,84.7,832.05,10,2,Yes
8777-PVYGU,64.3,3410.6,52,3,No
4770-QAZXN,19.45,232.1,13,0,No
8012-SOUDQ,90.25,3838.75,43,3,No
5546-BYZSM,20.45,775.6,41,0,No
0523-VNGTF,50.5,2566.3,52,4,No
3779-OSWCF,93.2,6506.15,71,7,No
8535-SFUTN,106.45,6300.15,61,5,No
2320-SLKMB,44.45,1183.8,26,3,No
7169-YWAMK,68.4,4855.35,72,4,No
8434-PNQZX,78.45,3373.4,42,5,No
4981-FLTMF,65.2,3687.85,57,4,No
9424-CMPOG,19.6,197.4,9,0,No
3627-FCRDW,71.0,672.55,9,0,Yes
1518-OMDIK,44.55,1462.6,33,0,No
8393-JMVMB,19.45,19.45,1,0,No
7638-QVMVY,79.0,522.95,7,1,Yes
6140-QNRQQ,71.55,71.55,1,0,Yes
7969-FFOWG,19.9,1292.6,65,0,No
1342-JPNKI,86.05,834.1,10,2,Yes
7080-TNUWP,95.0,6602.9,70,4,No
8949-JTMAY,98.6,2933.2,29,4,Yes
0654-HMSHN,104.4,2157.95,21,5,Yes
2725-KXXWT,90.75,90.75,1,2,Yes
2439-QKJUL,20.25,109.8,5,0,No
1935-IMVBB,89.7,4952.95,56,2,No
4628-WQCQQ,85.15,3030.6,35,2,Yes
3724-BSCVH,20.45,242.4,10,0,No
7605-BDWDC,49.85,1520.1,31,4,No
7137-RYLPP,85.7,3171.15,37,2,Yes
3207-OYBWH,95.25,5427.05,57,4,Yes
4707-YNOQA,25.6,917.15,34,1,No
6956-SMUCM,99.0,287.4,3,4,Yes
8714-CTZJW,82.85,319.6,4,2,No
3662-FXJFO,20.5,1035.7,54,0,No
7623-HKYRK,19.7,111.65,6,0,No
1353-GHZOS,59.75,1374.35,22,2,No
3323-CPBWR,96.9,2085.45,23,4,No
6152-ONASV,58.25,3975.7,68,3,No
9251-AWQGT,20.0,935.9,48,0,No
4803-LBYPN,20.8,635.9,34,0,No
8879-ZKJOF,79.85,3320.75,41,5,No
7354-OIJLX,75.85,724.65,9,1,No
9129-UXERG,103.6,1806.35,18,5,No
5302-BDJNT,95.5,3418.2,35,4,No
7148-XZPHA,79.4,4238.45,55,2,No
2651-ZCBXV,108.0,5760.65,54,6,No
1304-NECVQ,78.55,149.55,2,2,Yes
3374-TTZTK,106.3,5487.0,52,6,No
0229-LFJAF,69.65,4908.25,72,5,No
1304-BCCFO,70.05,564.4,9,3,No
0455-XFASS,69.55,200.2,3,0,No
0221-WMXNQ,75.35,273.4,4,1,No
2882-WDTBA,75.75,5388.15,69,5,No
8069-RHUXK,35.7,2545.7,67,2,No
4806-KEXQR,79.9,324.3,4,1,Yes
2817-NTQDO,45.55,597.0,13,3,Yes
3230-IUALN,81.0,3533.6,45,5,No
6500-JVEGC,101.35,7110.75,68,5,No
7103-ZGVNT,73.7,4885.85,69,5,No
1837-YQUCE,58.35,4214.25,70,5,No
4800-VHZKI,19.9,19.9,1,0,Yes
3887-PBQAO,25.9,1216.6,45,1,No
5177-RVZNU,20.3,755.4,37,0,No
1729-VLAZJ,40.25,411.45,10,3,No
4273-MBHYA,89.35,89.35,1,2,No
8690-UPCZI,69.05,1958.45,29,4,No
6374-NTQLP,104.1,7447.7,72,5,No
1618-CFHME,75.9,143.35,2,1,Yes
4104-PVRPS,53.6,1315.35,24,2,No
4210-QFJMF,79.15,317.25,4,1,Yes
5787-KXGIY,19.3,1304.8,72,0,No
3088-LHEFH,79.0,929.3,11,2,No
8896-RAZCR,19.9,868.1,44,0,No
7268-WNTCP,20.45,1297.35,62,0,No
5854-KSRBJ,25.4,1782.05,70,1,No
9907-SWKKF,25.05,25.05,1,0,Yes
3932-CMDTD,105.65,443.9,4,5,Yes
5277-ZLOOR,85.55,187.45,2,2,Yes
2746-DIJLO,56.3,2364.0,41,2,No
9174-FKWZE,19.45,19.45,1,0,Yes
9919-FZDED,84.1,5981.65,72,6,No
9488-FYQAU,109.25,6841.4,63,6,No
6869-FGJJC,79.6,5461.45,68,2,No
3349-ANQNH,99.5,5890.0,59,4,No
0222-CNVPT,48.8,2555.05,52,3,No
6900-PXRMS,105.75,2710.25,26,5,Yes
0230-WEQUW,56.6,3789.2,66,5,No
7629-WFGLW,95.65,5471.75,56,5,No
2235-EZAIK,79.2,5401.9,72,6,No
5119-NZPTV,70.1,141.65,2,0,No
4282-MSACW,117.2,8035.95,68,7,No
7711-YIJWC,84.9,5264.5,61,6,No
8749-CLJXC,20.05,20.05,1,0,No
7636-XUHWW,19.9,33.7,2,0,No
0883-EIBTI,19.5,31.55,2,0,Yes
4098-NAUKP,84.65,5683.6,68,3,No
0701-TJSEF,68.25,576.95,9,4,No
0689-NKYLF,83.2,1060.6,13,2,Yes
9867-NNXLC,20.05,470.2,22,0,No
9337-SRRNI,25.3,1673.8,66,1,No
1850-AKQEP,20.35,178.7,8,0,No
5600-KTXFM,69.95,143.9,2,0,No
7055-HNEOJ,55.8,154.55,3,2,No
2462-XIIJB,92.5,452.7,5,3,Yes
7277-KAMWT,20.0,268.45,13,0,No
7691-KGKGP,65.0,3363.8,53,3,No
7808-DVWEP,20.0,49.65,3,0,No
2379-GYFLQ,94.9,4422.95,46,4,No
7325-ENZFI,40.3,1630.4,39,3,No
8800-ZKRFW,107.5,3242.5,30,6,No
9133-AYJZG,98.7,2249.1,23,4,No
6772-WFQRD,20.4,854.9,40,0,No
9670-BPNXF,62.55,2796.45,45,3,No
2675-IJRGJ,19.65,978.0,53,0,No
4829-ZLJTK,112.4,8046.85,72,6,No
9950-MTGYX,20.3,487.95,28,0,No
9755-JHNMN,67.4,3306.85,49,4,No
3746-EUBYR,74.6,74.6,1,1,Yes
7929-DMBCV,81.0,1683.7,20,2,No
9640-ZSLDC,60.6,3297.0,53,2,No
7197-VOJMM,69.2,4671.65,67,4,No
2696-NARTR,73.85,926.25,11,1,Yes
0689-DSXGL,85.8,4433.3,52,3,No
7294-TMAOP,90.55,90.55,1,2,Yes
6177-PEVRA,55.5,2627.35,48,2,No
7410-YTJIK,75.45,480.75,7,1,Yes
1410-RSCMR,71.35,515.75,7,4,No
8800-JOOCF,84.05,966.55,12,2,No
4526-EXKKN,24.6,973.95,40,1,No
0813-TAXXS,77.8,4323.35,55,4,No
2320-TZRRH,19.5,403.15,20,0,No
0841-NULXI,35.55,35.55,1,1,Yes
2725-TTRIQ,84.2,5986.55,72,6,No
4778-IZARL,110.1,6705.7,63,6,No
2535-PBCGC,64.55,4504.9,70,6,No
3629-WEAAM,64.1,504.05,8,3,No
6128-CZOMY,45.65,45.65,1,0,Yes
9227-UAQFT,19.75,284.35,16,0,No
0804-XBFBV,25.2,321.05,11,0,No
4503-BDXBD,74.95,815.5,11,1,Yes
9626-VFRGG,88.5,3645.05,41,3,No
4994-OBRSZ,76.1,1054.8,14,5,No
3654-ARMGP,88.65,5321.25,61,6,No
0829-XXPLX,89.4,1871.15,20,3,No
8938-UMKPI,106.4,5127.95,47,5,Yes
4854-SSLTN,59.5,130.5,2,3,No
9720-JJJOR,60.3,2511.3,41,3,No
1926-QUZNN,25.25,1841.2,72,1,No
4900-MSOMT,80.2,5714.2,72,6,No
8910-ICHIU,95.65,4664.2,46,4,No
4892-VLANZ,19.8,19.8,1,0,Yes
0076-LVEPS,45.0,1242.45,29,4,No
1666-JXLKU,100.05,3810.55,37,4,No
4003-FUSHP,61.55,1093.2,19,2,No
7696-AMHOD,78.0,3824.2,49,4,No
8082-GHXOP,44.0,659.35,13,0,No
5445-GLVOT,49.8,1049.05,22,1,No
5195-KPUNQ,96.75,5206.55,53,4,No
3948-XHGNA,49.55,1210.4,24,1,Yes
9624-EGDEQ,19.8,813.3,37,0,No
7551-DACSP,55.3,324.25,6,2,Yes
8128-YVJRG,79.65,604.7,7,2,Yes
1038-ZAGBI,19.8,229.6,12,0,Yes
9153-BTBVV,25.0,1753.0,71,1,No
9470-RTWDV,82.0,2083.1,26,5,No
7554-AKDQF,45.65,323.45,6,0,No
7241-AJHFS,87.65,2766.4,32,3,No
9633-DENPU,58.6,2723.4,47,2,No
5480-XTFFL,21.0,697.7,31,0,No
7803-XOCCZ,84.05,4326.8,52,3,No
6549-BTYPG,60.8,3603.45,60,5,No
9114-AAFQH,65.65,3094.65,48,3,No
3572-UUHRS,18.85,867.3,45,0,No
7666-WKRON,80.45,3201.55,39,2,Yes
5192-EBGOV,85.7,85.7,1,2,Yes
6502-MJQAE,69.6,69.6,1,0,Yes
6400-BWQKW,79.05,434.5,6,2,Yes
5928-QLDHB,76.25,684.85,9,1,No
4376-KFVRS,114.05,8468.2,72,7,No
3528-HFRIQ,52.3,3765.05,71,4,No
2718-YSKCS,19.6,1387.45,71,0,No
2434-EEVDB,94.6,5948.7,64,4,No
6506-EYCNH,19.55,543.8,28,0,No
3396-DKDEL,115.15,8250.0,70,7,No
3269-ATYWD,95.65,3759.05,39,3,Yes
1159-WFSGR,20.4,321.4,16,0,No
9835-ZIITK,110.85,7491.75,66,6,Yes
9279-CJEOJ,95.4,2025.1,21,3,No
4720-VSTSI,84.8,3862.55,44,3,Yes
1360-JYXKQ,99.1,5437.1,54,4,No
8388-FYNPZ,56.75,245.15,4,2,No
7868-TMWMZ,110.0,6668.35,60,6,No
3466-RITXD,92.4,2349.8,26,4,No
6427-FEFIG,78.6,1846.65,24,5,No
6518-PPLMZ,19.4,1110.35,53,0,No
6762-NSODU,19.4,958.15,46,0,No
4355-CVPVS,88.9,4968.0,56,2,No
7629-WIXZF,59.1,369.25,7,2,No
3049-NDXFL,85.8,85.8,1,2,Yes
3566-HJGPK,45.55,45.55,1,0,No
1460-UZPRJ,19.95,1258.15,60,0,No
3712-PKXZA,20.55,1252.0,61,0,No
1623-NLDOT,33.55,1445.3,42,2,Yes
5171-EPLKN,19.85,470.0,27,0,No
5569-KGJHX,85.35,754.65,9,2,Yes
7463-IFMQU,20.05,1423.65,72,0,No
3178-CIFOT,19.65,478.1,23,0,No
1095-JUDTC,95.05,4504.55,47,4,Yes
3719-TDVQB,18.95,1031.1,54,0,No
4929-XIHVW,95.5,181.65,2,3,No
8106-GWQOK,60.0,2193.2,38,5,No
4128-ETESU,99.7,4747.2,47,4,No
0661-WCQNQ,56.25,1292.2,22,2,No
4927-WWOOZ,91.45,171.45,2,3,No
7564-GHCVB,79.05,5730.7,72,2,No
3445-HXXGF,45.3,2651.2,58,3,Yes
6670-MFRPK,79.2,5420.65,69,2,No
6890-PFRQX,69.5,1199.4,18,4,No
1552-CZCLL,20.0,1087.25,55,0,No
2014-MKGMH,101.1,4674.4,46,4,No
0303-WMMRN,19.25,86.05,5,0,No
3806-DXQOM,33.65,137.85,4,2,Yes
1724-BQUHA,89.5,477.7,5,2,Yes
2580-ATZSQ,61.35,3874.1,65,3,No
7945-PRBVF,21.45,705.45,35,0,No
3898-GUYTS,97.05,4385.05,45,5,No
2832-SCUCO,19.9,57.4,2,0,No
9779-DPNEJ,80.15,1790.65,22,1,No
4915-BFSXL,68.95,4858.7,70,4,No
5018-LXQQG,66.3,1923.5,30,3,No
1698-XFZCI,107.75,6521.9,61,6,No
1872-EBWSC,20.35,617.35,29,0,No
4446-BZKHU,105.55,6281.45,61,5,Yes
4607-CHPCA,90.4,2178.6,25,2,Yes
9475-NNDGC,113.15,7953.25,71,6,No
3841-CONLJ,35.0,35.0,1,1,No
2294-DMMUS,70.45,4300.45,62,3,No
5921-NGYRH,73.55,4764.0,64,1,No
1897-OKVMW,90.6,5817.45,64,7,No
5117-IFGPS,84.3,2357.75,29,2,No
3866-MDTUB,70.75,146.9,2,3,Yes
1194-SPVSP,19.65,19.65,1,0,No
6905-NIQIN,50.65,50.65,1,1,Yes
6813-GZQCG,24.65,1171.3,45,1,No
9896-UYMIE,114.3,7383.7,66,7,No
8849-GYOKR,106.55,5763.3,54,5,Yes
5816-JMLGY,80.4,5717.85,70,5,No
3990-QYKBE,92.5,3473.4,37,3,Yes
6161-UUUTA,79.9,260.9,3,1,Yes
0396-UKGAI,55.3,1284.2,23,2,No
0512-FLFDW,100.5,6029.0,60,4,No
2946-KIQSP,33.45,1175.85,35,2,No
0187-WZNAB,74.4,1972.35,27,1,No
6867-ACCZI,52.5,1208.15,24,5,No
7024-OHCCK,93.85,170.85,2,3,Yes
6481-OGDOO,90.6,6056.15,67,3,Yes
7377-DMMRI,47.8,92.45,2,1,Yes
1963-VAUKV,20.4,20.4,1,0,Yes
5919-TMRGD,79.35,79.35,1,1,Yes
6994-ORCWG,54.25,773.2,14,2,No
5144-TVGLP,94.75,3653.0,38,3,No
0328-GRPMV,70.1,70.1,1,0,Yes
2905-KFQUV,70.4,154.8,2,0,No
8637-XJIVR,78.95,927.35,12,2,Yes
5150-LJNSR,98.05,3082.1,31,4,No
4826-DXMUP,72.1,2495.15,35,3,No
3518-FSTWG,109.55,7920.7,72,6,No
2929-ERCFZ,94.2,777.3,8,3,Yes
1455-UGQVH,98.5,1037.75,10,4,Yes
8485-GJCDN,69.05,318.5,5,0,Yes
0459-SPZHJ,83.5,5435.0,63,6,No
2169-RRLFW,25.6,1888.25,71,1,No
8818-DOPVL,104.45,4863.85,46,5,No
1207-BLKSA,23.05,1255.1,52,1,No
7593-XFKDI,46.3,46.3,1,0,Yes
5393-RXQSZ,79.6,79.6,1,1,Yes
5183-KLYEM,112.75,8192.6,72,7,No
0923-PNFUB,83.75,247.25,3,2,Yes
4134-BSXLX,60.9,1785.65,28,3,No
1452-XRSJV,51.05,2066.0,39,1,No
4213-HKBJO,25.7,826.1,33,1,No
7750-EYXWZ,60.65,743.3,12,5,No
7180-PISOG,74.5,74.5,1,1,Yes
1356-MKYSK,78.65,483.3,6,5,No
1212-GLHMD,86.05,244.85,3,2,No
7228-OMTPN,88.45,370.65,4,2,Yes
7682-AZNDK,89.85,3091.75,34,3,No
6286-SUUWT,19.95,19.95,1,0,No
3500-RMZLT,96.3,1426.75,15,4,Yes
4729-XKASR,24.75,24.75,1,0,Yes
8364-TRMMK,50.65,151.3,3,1,Yes
1000-AJSLD,20.1,20.1,1,0,Yes
4393-OBCRR,20.25,71.2,3,0,No
0942-KOWSM,80.8,2369.3,30,5,No
0870-VEMYL,53.85,259.8,5,2,Yes
3454-JFUBC,20.0,1396.0,68,0,No
2592-YKDIF,20.35,20.35,1,0,No
6941-PMGEP,80.0,412.5,5,1,Yes
0511-JTEOY,71.1,71.1,1,0,Yes
4323-ELYYB,20.0,218.55,13,0,No
9500-LTVBP,80.05,2835.9,35,2,No
8120-JDCAM,69.55,284.9,4,0,No
1335-NTIUC,24.95,190.25,9,0,No
6563-VNPMN,85.7,3778.1,45,3,No
0668-OGMHD,28.5,629.35,21,1,No
0311-UNPFF,88.8,2274.35,26,2,Yes
9282-IZGQK,85.0,85.0,1,2,Yes
4695-WJZUE,88.55,179.25,2,3,Yes
5527-ACHSO,70.5,829.3,11,3,No
5140-FOMCQ,109.15,6557.75,59,6,No
0410-IPFTY,83.85,2674.15,31,2,No
1333-PBMXB,24.75,1342.15,54,1,No
1915-OAKWD,19.3,360.35,16,0,No
5707-ORNDZ,54.55,494.05,9,2,Yes
7969-AULMZ,97.35,2119.5,21,3,Yes
2700-LUEVA,20.75,20.75,1,0,No
9099-FTUHS,54.4,1249.25,23,2,No
8699-ASUFO,74.4,527.9,7,1,Yes
7181-OQCUT,103.85,2215.0,21,5,No
3096-YXENJ,107.65,7082.85,65,6,No
2495-INZWQ,44.55,174.3,4,2,Yes
2193-SFWQW,111.95,8033.1,72,6,No
3908-MKIMJ,41.95,2965.75,68,3,No
6736-DHUQI,84.8,5598.3,67,3,No
2868-MZAGQ,79.25,79.25,1,1,Yes
8905-IAZPF,95.65,6744.2,69,3,No
1215-FIGMP,89.9,5450.7,60,3,No
0772-GYEQQ,88.35,262.05,3,3,Yes
9995-HOTOH,59.0,3707.6,63,5,No
7579-KKLOE,91.25,6589.6,71,7,No
3594-UVONA,85.95,3110.1,35,6,Yes
6641-XRPSU,70.0,2416.1,34,0,Yes
5707-ZMDJP,69.7,3729.6,53,4,No
3307-TLCUD,34.4,592.75,17,2,No
4797-AXPXK,60.0,60.0,1,3,Yes
4869-EPIUS,80.9,4557.5,56,1,No
8563-IIOXK,49.75,331.3,7,1,Yes
2773-OVBPK,111.3,7567.2,67,6,No
1353-LJWEM,60.9,688.5,11,3,No
5868-YTYKS,20.25,20.25,1,0,No
8713-IGZSO,24.85,62.0,2,1,No
6050-FFXES,105.35,7240.65,69,5,No
9300-RENDD,79.95,79.95,1,1,Yes
4183-MYFRB,90.05,1862.9,21,3,No
3339-EAQNV,97.25,7133.1,72,4,No
2545-EBUPK,84.05,186.05,2,2,No
4990-ALDGW,20.75,1118.8,57,0,No
0970-ETWGE,89.55,89.55,1,2,Yes
3671-SHRSP,80.6,319.15,4,2,Yes
2308-STERM,19.4,61.05,2,0,No
1219-NNDDO,76.85,663.55,9,1,No
3508-CFVZL,111.3,7985.9,71,7,No
3387-PLKUI,18.8,251.25,13,0,No
9702-AIUJO,44.8,2230.85,50,0,No
8337-UPOAQ,89.8,914.3,10,3,Yes
1728-CXQBE,94.25,6081.4,64,4,No
5134-IKDAY,69.8,69.8,1,0,Yes
9638-JIQYA,24.9,49.7,2,0,No
6647-ZEDXT,110.45,3327.05,30,6,No
1579-KLYDT,90.45,593.45,7,3,Yes
3985-HOYPM,19.4,525.55,26,0,No
6705-LNMDD,50.0,1003.05,20,1,No
6917-FIJHC,26.0,1776.0,72,1,No
4640-UHDOS,55.95,734.35,13,1,Yes
1414-YADCW,84.6,5706.2,70,3,No
5960-MVTUK,29.75,96.85,3,1,No
0637-KVDLV,76.5,162.45,2,1,Yes
5451-YHYPW,115.75,8443.7,72,7,No
5813-UECBU,83.85,2716.3,33,3,Yes
9947-OTFQU,74.4,1074.3,15,1,Yes
1816-FLZDK,29.15,29.15,1,1,No
3005-NFMTA,98.8,5617.75,55,4,Yes
4710-NKCAW,64.4,316.9,5,4,No
4290-BSXUX,79.65,251.75,3,2,Yes
6266-QHOJZ,89.85,5844.65,65,4,No
6047-SUHPR,59.8,2343.85,39,3,No
6010-DDPPW,25.15,1940.85,70,1,No
4374-YMUSQ,116.25,3899.05,34,7,No
1958-RNRKS,49.9,1441.95,30,1,No
7176-WIONM,49.85,617.15,12,3,No
9483-GCPWE,20.1,190.25,9,0,No
1264-FUHCX,56.3,2780.6,49,4,No
8887-IPQNC,44.25,313.45,7,0,No
2921-XWDJH,83.45,3147.15,38,2,No
5574-NXZIU,109.2,7049.75,63,6,No
8644-XLFBW,71.65,71.65,1,0,Yes
4811-JBUVU,89.9,2723.15,30,3,No
8970-ANWXO,73.75,1756.6,23,4,No
0602-DDUML,69.75,3894.4,57,4,No
5671-RQRLP,75.65,5411.4,70,1,No
9959-WOFKT,106.7,7382.25,71,5,No
1208-NBVFH,49.6,939.8,20,1,No
6976-BWGLQ,25.2,1787.35,72,1,No
2178-PMGCJ,69.7,1490.4,22,0,No
7610-TVOPG,26.35,378.6,15,1,No
7240-ETPTR,48.75,442.2,9,3,Yes
6518-LGAOV,105.0,4026.4,38,5,Yes
2826-DXLQO,29.8,220.45,7,1,No
5949-HGVJL,73.05,1959.5,26,4,No
3489-VSFRD,60.25,3282.75,56,3,No
2812-REYAT,20.05,923.1,49,0,No
9633-XQABV,70.25,229.7,3,0,No
4102-OQUPX,74.4,74.4,1,1,Yes
2900-PHPLN,19.55,1462.05,70,0,No
9894-QMIMJ,55.8,1327.85,23,2,No
7596-ZYWBB,59.6,3739.8,65,3,No
5440-FLBQG,108.4,7318.2,69,6,Yes
3063-QFSZL,55.4,55.4,1,1,Yes
4873-ILOLJ,90.35,2238.5,24,2,Yes
3003-CMDUU,95.15,2395.7,25,3,No
7279-NMVJC,19.9,323.15,17,0,No
6478-HRRCZ,70.5,2201.75,32,4,No
3678-MNGZX,19.95,1377.7,68,0,No
5902-WBLSE,20.15,1411.2,70,0,No
7722-CVFXN,105.2,5637.85,54,5,No
2223-KAGMX,19.4,289.3,15,0,Yes
9803-FTJCG,66.85,4748.7,71,4,No
6060-QBMGV,19.85,1433.8,70,0,No
2858-EIMXH,95.85,5016.25,53,3,No
4741-WWJQZ,80.15,194.55,2,2,No
9845-PEEKO,79.2,4590.35,59,2,No
9167-APMXZ,84.15,1821.95,22,2,No
9800-ONTFE,75.8,1615.1,22,1,No
3621-CHYVB,49.9,2782.4,57,4,No
3177-LASXD,71.35,71.35,1,0,Yes
1465-VINDH,102.1,1068.85,10,5,Yes
2055-SIFSS,51.65,2838.55,55,1,No
0804-YGEQV,24.45,993.15,43,1,No
3346-BRMIS,48.35,810.7,18,3,Yes
3130-ICDUP,80.55,188.1,2,2,No
0732-OCQOC,25.05,1270.25,52,1,No
4012-YCFAI,61.35,3766.2,60,3,No
7346-MEDWM,83.25,4949.1,59,3,No
7036-TYDEC,104.0,7028.5,69,5,No
6615-NGGZJ,100.55,1415.55,14,4,Yes
3441-CGZJH,60.4,2640.55,43,5,No
0208-BPQEJ,19.4,198.1,12,0,No
2229-DPMBI,19.5,162.15,8,0,No
7159-FVYPK,69.15,235.0,3,4,No
7544-ZVIKX,105.05,6004.85,58,5,No
6366-XIVKZ,63.15,816.8,13,3,No
7137-NAXML,20.15,405.6,23,0,No
7126-RBHSD,78.9,1348.95,17,2,No
1428-IEDPR,109.3,5731.4,52,6,No
9465-RWMXL,78.9,2447.95,32,2,Yes
2908-ZTPNF,34.85,1267.2,36,2,No
4176-RELJR,25.1,1672.15,67,1,No
3001-UNBTL,103.95,2964.8,29,4,No
6067-NGCEU,111.05,7107.0,65,6,No
2479-BRAMR,83.75,3273.55,41,3,Yes
3161-ONRWK,65.85,3928.3,60,4,No
6349-JDHQP,19.85,1049.6,53,0,No
1619-YWUBB,24.95,1614.9,68,1,No
2761-OCIAX,74.7,165.4,2,1,Yes
2683-JXWQQ,33.6,2117.2,61,2,No
9585-KKMFD,20.0,879.8,41,0,No
7524-VRLPL,74.1,5031.0,69,5,No
3780-DDGSE,76.05,2747.2,35,4,No
2207-OBZNX,51.0,354.05,7,1,Yes
0023-UYUPN,25.2,1306.3,50,1,No
5975-BAICR,63.7,2188.5,36,3,No
2669-OIDSD,100.05,4834.0,48,4,No
8146-QQKZH,81.85,5924.4,71,5,No
2307-FYNNL,109.05,7108.2,65,6,No
2985-FMWYF,93.5,2341.55,23,3,No
