customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0031-4405,Male,1,No,No,31,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,One year,No,Mailed check,70.75,2186.20,No
0032-8150,Male,0,No,No,60,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Mailed check,117.49,7100.75,No
0033-6924,Female,0,Yes,No,27,No,No phone service,DSL,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,78.20,2147.19,Yes
0034-8600,Female,0,No,No,23,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.70,2747.48,Yes
0035-5501,Female,1,Yes,Yes,41,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,43.47,1814.30,No
0036-8139,Female,1,No,Yes,46,No,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,20.00,979.67,Yes
0037-9180,Male,1,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),24.19,89.00,No
0038-4653,Female,1,Yes,No,17,No,No phone service,No,No internet service,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),34.53,634.45,No
0039-9527,Male,0,Yes,Yes,22,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,91.71,2028.68,Yes
0040-2427,Female,0,Yes,Yes,28,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,66.17,1910.06,Yes
0041-8668,Male,1,Yes,No,53,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,60.18,3170.01,No
0042-1142,Male,1,Yes,No,57,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.09,2731.47,Yes
0043-7875,Male,1,No,No,55,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),28.44,1606.32,No
0044-9021,Female,1,Yes,No,15,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),81.03,1214.46,No
0045-7318,Male,1,No,Yes,66,No,No phone service,No,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),43.30,2883.19,Yes
0046-3502,Female,0,Yes,No,9,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,25.45,251.56,No
0047-9722,Male,1,Yes,No,71,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),119.13,8448.72,No
0048-5323,Female,0,No,Yes,27,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,24.83,718.96,No
0049-7537,Female,1,Yes,No,63,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),59.13,3759.09,Yes
0050-5627,Female,1,Yes,Yes,13,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),34.21,504.19,No
0051-9455,Female,0,Yes,Yes,21,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,69.95,1500.93,No
0052-8554,Female,0,Yes,No,61,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,No,Electronic check,95.49,5823.50,Yes
0053-3257,Male,0,No,No,32,No,No,DSL,No internet service,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),111.81,3563.49,No
0054-7137,Female,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Electronic check,38.58,1660.12,No
0055-4438,Female,1,No,No,35,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No internet service,One year,No,Credit card (automatic),79.35,2820.07,Yes
0056-2989,Male,0,No,Yes,27,No,No,Fiber optic,No,Yes,No,No,No,No internet service,Two year,No,Mailed check,83.98,2264.80,No
0057-9026,Female,1,Yes,Yes,24,No,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,40.32,977.37,No
0058-3941,Male,0,No,No,34,No,No phone service,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),59.75,2046.73,No
0059-2411,Male,0,No,No,11,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,103.65,1167.03,No
0060-1916,Female,1,No,Yes,62,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,50.61,3118.47,No
0061-5626,Male,0,Yes,No,32,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,73.91,2406.52,No
0062-6348,Female,1,No,Yes,42,Yes,No,No,No internet service,Yes,No,No,No,Yes,One year,No,Credit card (automatic),106.63,4478.95,No
0063-1894,Male,0,No,Yes,50,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),60.35,3054.01,No
0064-2606,Female,0,No,No,42,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.84,4500.08,No
0065-6130,Female,1,No,No,47,No,Yes,DSL,No,No internet service,No,No internet service,No,Yes,One year,No,Mailed check,86.01,4062.37,No
0066-2878,Female,1,No,No,14,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,100.45,1419.45,Yes
0067-2331,Female,0,Yes,No,50,No,No phone service,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),72.06,3637.07,Yes
0068-7520,Male,0,Yes,No,30,No,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,26.50,795.08,No
0069-4852,Female,0,No,No,51,No,No,DSL,No,No,Yes,No internet service,No,Yes,One year,No,Mailed check,53.21,2727.50,No
0070-6281,Male,1,Yes,No,54,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,90.49,4897.06,No
0071-2950,Female,1,Yes,No,43,No,No,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),117.46,5060.66,No
0072-7948,Male,1,No,Yes,63,No,Yes,No,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,51.21,3234.05,No
0073-7599,Male,0,No,Yes,18,No,No,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.73,1955.25,Yes
0074-3878,Female,0,Yes,No,16,No,No,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),88.56,1475.86,No
0075-3102,Female,0,No,No,8,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,59.19,508.50,No
0076-7983,Female,1,No,Yes,52,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.09,3755.08,No
0077-9551,Female,1,Yes,Yes,51,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,118.43,6079.76,No
0078-7952,Male,0,Yes,No,2,No,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Mailed check,26.74,80.49,No
0079-1638,Female,1,No,Yes,41,No,Yes,DSL,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),36.18,1495.17,Yes
0080-6414,Male,0,No,Yes,45,Yes,No phone service,DSL,No,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),111.73,5046.21,No
0081-5139,Male,1,Yes,No,35,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),91.42,3232.10,Yes
0082-4110,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,No,Two year,No,Electronic check,80.97,4028.89,No
0083-2629,Female,0,No,No,46,No,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),30.57,1458.79,Yes
0084-4732,Female,1,Yes,No,55,No,No phone service,No,Yes,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),112.44,6227.44,No
0085-2915,Male,1,Yes,Yes,43,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),106.95,4657.77,No
0086-5143,Female,1,Yes,No,14,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,65.30,938.72,No
0087-1875,Male,1,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,81.23,868.58,No
0088-2559,Male,0,Yes,No,25,Yes,No,No,No,Yes,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),90.10,2249.11,No
0089-1930,Female,1,Yes,No,0,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),23.30,80.69,Yes
0090-4022,Female,1,Yes,No,3,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.98,224.81,No
0091-5571,Male,0,Yes,Yes,12,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,Two year,No,Mailed check,98.09,1231.89,Yes
0092-9960,Male,0,No,Yes,25,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,42.43,1084.94,No
0093-8990,Female,0,Yes,Yes,2,No,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),112.98,225.77,Yes
0094-5508,Male,1,No,No,45,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,Two year,Yes,Electronic check,41.83,1902.31,Yes
0095-5846,Male,0,Yes,No,29,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Mailed check,37.41,1122.60,No
0096-7473,Female,1,No,No,51,Yes,Yes,No,Yes,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,27.23,1376.49,No
0097-2258,Female,0,No,No,57,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),72.73,4186.61,No
0098-8662,Male,0,Yes,Yes,49,Yes,No,DSL,No internet service,No,No,No,No,No,Two year,Yes,Credit card (automatic),106.40,5232.08,Yes
0099-6766,Female,1,Yes,Yes,72,No,No phone service,DSL,No,No,No internet service,No,No,Yes,Two year,No,Credit card (automatic),54.13,3957.01,No
0100-6548,Female,0,Yes,Yes,20,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,No,Bank transfer (automatic),97.50,1959.47,No
0101-6512,Female,1,No,Yes,29,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),84.12,2496.18,No
0102-6713,Female,1,No,Yes,4,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Yes,No,One year,No,Mailed check,54.44,257.58,Yes
0103-4429,Female,0,Yes,No,66,No,No phone service,No,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.46,3320.14,No
0104-5480,Female,1,No,Yes,30,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,31.31,975.74,No
0105-9052,Female,0,No,Yes,25,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),89.42,2290.35,No
0106-3633,Female,1,Yes,Yes,15,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Electronic check,70.33,1081.72,No
0107-8212,Male,1,No,Yes,61,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Mailed check,40.24,2491.89,No
0108-6316,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,Two year,Yes,Mailed check,41.45,1567.73,Yes
0109-4847,Female,0,No,No,46,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),22.17,1013.52,Yes
0110-8880,Female,0,Yes,Yes,33,Yes,No,DSL,No,Yes,No internet service,No,No,No internet service,One year,Yes,Mailed check,101.34,3338.43,No
0111-1017,Male,0,No,No,3,Yes,No,No,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),100.03,313.74,No
0112-5517,Male,1,Yes,Yes,72,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,94.55,6855.96,No
0113-7746,Male,1,No,No,64,Yes,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),107.92,6942.79,No
0114-2183,Male,1,No,Yes,72,Yes,No,DSL,No internet service,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),107.22,7714.64,No
0115-8518,Male,1,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,63.60,564.21,No
0116-4052,Female,0,No,No,68,No,No,Fiber optic,No internet service,No,No,No,No,No internet service,One year,No,Credit card (automatic),99.64,6793.37,No
0117-7022,Male,0,No,No,6,No,Yes,No,No,No,No internet service,No,No,Yes,Two year,No,Credit card (automatic),20.88,180.71,No
0118-1637,Female,0,No,Yes,71,No,No,No,Yes,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,35.19,2552.07,No
0119-6727,Male,1,Yes,Yes,8,No,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,One year,No,Electronic check,92.55,749.07,Yes
0120-6395,Male,1,Yes,No,67,No,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,50.77,3427.04,Yes
0121-7308,Female,0,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,96.11,4044.49,Yes
0122-6329,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No,Yes,No,No,One year,No,Credit card (automatic),33.85,934.10,No
0123-6483,Male,0,No,Yes,31,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),39.24,1213.19,No
0124-5910,Female,1,Yes,No,51,No,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,24.35,1269.53,No
0125-1588,Male,0,No,Yes,65,No,Yes,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,67.02,4359.79,Yes
0126-2681,Female,1,Yes,No,14,No,No phone service,No,Yes,Yes,No internet service,Yes,No,Yes,Two year,No,Mailed check,97.48,1378.00,No
0127-6849,Female,0,Yes,Yes,50,No,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,76.29,3844.14,No
0128-4127,Male,0,No,No,15,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),21.14,376.98,No
0129-1569,Male,1,No,Yes,31,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),52.32,1615.99,No
0130-2843,Female,0,No,No,32,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,83.59,2701.51,No
0131-3682,Female,1,No,No,49,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,67.78,3335.17,No
0132-6463,Female,0,Yes,Yes,60,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),87.79,5277.03,No
0133-7725,Female,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,92.30,1800.82,No
0134-3500,Male,1,No,Yes,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,32.21,1353.67,No
0135-4445,Female,1,No,No,41,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,115.24,4732.44,No
0136-2884,Female,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),41.97,1324.54,Yes
0137-5285,Male,1,No,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),67.84,3377.28,Yes
0138-9271,Male,0,No,No,16,No,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,65.19,1092.84,No
0139-9334,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,66.00,3357.45,Yes
0140-5715,Female,0,No,Yes,4,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,109.44,418.87,No
0141-3460,Female,1,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.80,343.45,No
0142-2548,Male,0,No,Yes,29,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,26.51,764.63,No
0143-1688,Male,0,Yes,Yes,51,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,31.80,1607.14,Yes
0144-1767,Male,1,Yes,No,42,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),72.65,3035.60,No
0145-6992,Female,1,No,Yes,17,Yes,No,No,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,61.79,1034.69,No
0146-8337,Male,0,No,Yes,65,No,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),34.40,2257.03,No
0147-8015,Male,0,No,No,6,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,67.87,388.40,Yes
0148-4232,Male,0,Yes,No,67,No,No,Fiber optic,Yes,No,No,No,No,No internet service,One year,No,Credit card (automatic),111.64,7488.56,No
0149-6012,Female,1,No,No,35,Yes,Yes,DSL,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.95,3786.01,No
0150-2431,Female,0,Yes,Yes,4,No,No phone service,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),63.00,246.40,Yes
0151-9224,Male,1,Yes,Yes,22,Yes,No phone service,DSL,No,No internet service,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),68.54,1544.10,No
0152-5562,Male,0,No,Yes,68,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),65.30,4490.89,No
0153-7127,Female,0,Yes,Yes,26,No,No,No,No,No internet service,No,No,No internet service,No internet service,One year,No,Electronic check,36.79,1000.94,No
0154-9913,Female,0,Yes,No,40,No,No,Fiber optic,No internet service,Yes,No,No,No,No,One year,No,Credit card (automatic),55.67,2244.42,No
0155-5178,Male,0,Yes,No,29,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),78.99,2283.56,No
0156-9991,Male,1,No,No,68,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,62.11,4281.76,No
0157-4461,Female,0,Yes,Yes,51,No,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,57.28,2924.17,Yes
0158-4982,Male,0,No,No,8,No,No,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,45.31,422.14,Yes
0159-1844,Male,0,No,Yes,39,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),28.36,1123.12,No
0160-7161,Female,0,No,Yes,56,No,No,No,No,No,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),95.74,5391.70,No
0161-6676,Female,1,Yes,No,62,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),68.28,4247.89,Yes
0162-1784,Female,0,No,Yes,43,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Mailed check,111.29,4791.15,No
0163-8217,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,109.28,3631.27,Yes
0164-3258,Male,1,Yes,Yes,67,No,Yes,No,No,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,85.49,5743.69,Yes
0165-5303,Female,0,Yes,Yes,35,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,87.05,3099.73,No
0166-1468,Female,0,Yes,Yes,62,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),66.25,4147.32,No
0167-3911,Male,0,No,Yes,0,No,Yes,No,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Electronic check,95.08,143.33,No
0168-7802,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,25.09,555.20,Yes
0169-8446,Male,1,No,Yes,59,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.12,4485.42,No
0170-7642,Male,0,Yes,No,53,No,Yes,DSL,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,40.36,2186.90,No
0171-9733,Male,1,Yes,Yes,52,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,54.88,2873.09,Yes
0172-3780,Female,1,Yes,Yes,40,No,No,DSL,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),105.05,4258.53,No
