Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
CA-2023-00012,2023-09-22,2023-09-26,Second Class,CUST-4608,Consumer,Canada,City-765,Alberta,67422,Canada,Furniture,Chairs,PROD-10942,73.97,6,0.20,0.26
CA-2023-00013,2023-01-17,2023-01-24,Standard Class,CUST-8744,Home Office,United States,City-469,California,18834,West,Office Supplies,Binders,PROD-41850,1680.70,5,0.00,239.76
CA-2023-00014,2023-02-19,2023-02-25,Same Day,CUST-2612,Corporate,United Kingdom,City-390,Scotland,22363,EMEA,Office Supplies,Paper,PROD-17944,3460.80,8,0.00,702.59
CA-2023-00015,2023-05-08,2023-05-10,Standard Class,CUST-2235,Corporate,United Kingdom,City-695,Wales,24322,EMEA,Furniture,Tables,PROD-68082,603.73,7,0.10,7.49
CA-2023-00016,2023-10-04,2023-10-11,Standard Class,CUST-1960,Consumer,Canada,City-104,Ontario,95477,Canada,Furniture,Chairs,PROD-31579,1717.73,7,0.00,496.58
CA-2023-00017,2023-08-21,2023-08-24,Standard Class,CUST-9883,Consumer,United Kingdom,City-800,England,44760,EMEA,Office Supplies,Storage,PROD-17989,563.80,5,0.00,90.56
CA-2023-00018,2023-10-27,2023-10-31,Second Class,CUST-4853,Consumer,Canada,City-118,Quebec,16572,Canada,Technology,Accessories,PROD-62923,116.76,3,0.00,23.80
CA-2023-00019,2023-01-21,2023-01-26,First Class,CUST-5351,Home Office,United States,City-1186,Washington,87924,West,Furniture,Bookcases,PROD-61876,371.38,5,0.30,15.37
CA-2023-00020,2023-02-07,2023-02-08,Standard Class,CUST-5002,Consumer,United States,City-937,Colorado,51441,West,Office Supplies,Binders,PROD-58434,1226.43,9,0.00,363.50
CA-2023-00021,2023-12-27,2023-12-30,First Class,CUST-2753,Home Office,United Kingdom,City-898,England,81200,EMEA,Technology,Phones,PROD-82512,939.54,2,0.00,17.86
CA-2023-00022,2023-04-18,2023-04-24,First Class,CUST-7939,Home Office,United States,City-578,Colorado,89276,West,Office Supplies,Appliances,PROD-46265,2221.38,9,0.00,-129.87
CA-2023-00023,2023-11-23,2023-11-26,Same Day,CUST-3442,Corporate,United States,City-684,California,27146,West,Furniture,Tables,PROD-81511,88.11,9,0.00,28.66
CA-2023-00024,2023-03-17,2023-03-21,First Class,CUST-2684,Corporate,United States,City-1193,Colorado,82420,West,Furniture,Chairs,PROD-56357,449.97,1,0.00,93.11
CA-2023-00025,2023-03-25,2023-04-01,Standard Class,CUST-5065,Consumer,Canada,City-317,Quebec,41029,Canada,Furniture,Bookcases,PROD-44970,2118.31,6,0.10,552.89
CA-2023-00026,2023-08-29,2023-08-31,First Class,CUST-6378,Corporate,United States,City-784,California,15075,West,Furniture,Bookcases,PROD-46517,322.98,4,0.30,-4.23
CA-2023-00027,2023-09-18,2023-09-22,Second Class,CUST-8119,Consumer,United States,City-720,Colorado,94080,West,Technology,Copiers,PROD-55309,466.95,5,0.00,-38.66
CA-2023-00028,2023-09-19,2023-09-20,Second Class,CUST-4228,Corporate,Canada,City-894,Quebec,89457,Canada,Office Supplies,Appliances,PROD-57739,32.70,7,0.20,6.84
CA-2023-00029,2023-06-10,2023-06-16,First Class,CUST-3085,Corporate,United Kingdom,City-677,England,91678,EMEA,Furniture,Tables,PROD-35144,815.65,7,0.30,26.95
CA-2023-00030,2023-03-31,2023-04-05,Second Class,CUST-6279,Corporate,United Kingdom,City-777,Wales,98777,EMEA,Technology,Copiers,PROD-70946,661.59,5,0.10,167.77
CA-2023-00031,2023-08-31,2023-09-07,Second Class,CUST-2530,Home Office,United Kingdom,City-438,Scotland,77000,EMEA,Technology,Accessories,PROD-40784,910.52,5,0.30,162.68
CA-2023-00032,2023-03-17,2023-03-18,Second Class,CUST-7291,Corporate,Canada,City-461,Quebec,36100,Canada,Furniture,Chairs,PROD-74799,1176.84,8,0.30,187.18
CA-2023-00033,2023-12-19,2023-12-20,Standard Class,CUST-2988,Consumer,United Kingdom,City-303,England,95990,EMEA,Furniture,Bookcases,PROD-69829,1691.64,9,0.20,20.54
CA-2023-00034,2023-11-01,2023-11-04,Same Day,CUST-5050,Home Office,United States,City-1088,New York,83259,West,Office Supplies,Storage,PROD-93579,1007.40,3,0.10,103.29
CA-2023-00035,2023-05-03,2023-05-06,First Class,CUST-2320,Home Office,United Kingdom,City-993,Wales,92149,EMEA,Office Supplies,Binders,PROD-28136,558.00,4,0.00,168.44
CA-2023-00036,2023-12-28,2023-12-30,First Class,CUST-7883,Corporate,United States,City-785,Washington,30028,West,Furniture,Bookcases,PROD-61049,2120.67,9,0.00,-14.68
CA-2023-00037,2023-07-14,2023-07-18,Same Day,CUST-4613,Corporate,Canada,City-41,Alberta,85456,Canada,Furniture,Bookcases,PROD-73993,1329.96,7,0.30,193.85
CA-2023-00038,2023-01-15,2023-01-19,Standard Class,CUST-7455,Home Office,United States,City-893,Colorado,73654,West,Office Supplies,Storage,PROD-87580,2945.09,8,0.20,413.36
CA-2023-00039,2023-11-26,2023-11-30,Second Class,CUST-6529,Consumer,Canada,City-56,Alberta,21003,Canada,Furniture,Bookcases,PROD-59692,963.30,5,0.00,100.78
CA-2023-00040,2023-08-29,2023-08-30,Standard Class,CUST-1508,Corporate,United Kingdom,City-517,Scotland,20735,EMEA,Technology,Phones,PROD-42411,548.39,2,0.30,-44.90
CA-2023-00041,2023-03-06,2023-03-10,Standard Class,CUST-2876,Home Office,United States,City-313,California,41266,West,Technology,Phones,PROD-31465,2809.92,8,0.00,-68.83
CA-2023-00042,2023-06-09,2023-06-14,Standard Class,CUST-5941,Corporate,United Kingdom,City-1186,England,13365,EMEA,Technology,Machines,PROD-99687,417.33,2,0.30,3.87
CA-2023-00043,2023-06-27,2023-07-02,First Class,CUST-6934,Consumer,Canada,City-1160,Ontario,15383,Canada,Office Supplies,Paper,PROD-93307,382.99,1,0.10,-20.11
CA-2023-00044,2023-04-01,2023-04-07,Same Day,CUST-6280,Home Office,United Kingdom,City-314,Wales,67080,EMEA,Technology,Copiers,PROD-42177,1235.42,8,0.30,205.84
CA-2023-00045,2023-08-26,2023-08-31,Second Class,CUST-6813,Corporate,United States,City-924,Colorado,41963,West,Technology,Machines,PROD-43862,3409.76,8,0.00,407.12
CA-2023-00046,2023-01-06,2023-01-11,Same Day,CUST-9041,Consumer,United Kingdom,City-566,Scotland,82848,EMEA,Furniture,Chairs,PROD-68743,2238.48,8,0.00,471.81
CA-2023-00047,2023-07-27,2023-08-02,First Class,CUST-6419,Home Office,United States,City-603,California,39045,West,Furniture,Bookcases,PROD-56112,2231.76,8,0.00,204.15
CA-2023-00048,2023-05-09,2023-05-11,First Class,CUST-4545,Consumer,Canada,City-555,Quebec,50189,Canada,Furniture,Tables,PROD-73464,521.82,2,0.30,-8.71
CA-2023-00049,2023-05-25,2023-05-26,First Class,CUST-5494,Consumer,United Kingdom,City-1075,Wales,88222,EMEA,Furniture,Bookcases,PROD-15965,324.70,3,0.30,45.58
CA-2023-00050,2023-09-09,2023-09-10,Same Day,CUST-5136,Corporate,United States,City-259,Colorado,93606,West,Furniture,Tables,PROD-72616,1784.24,8,0.00,596.78
CA-2023-00051,2023-02-07,2023-02-12,Standard Class,CUST-2940,Consumer,United States,City-821,California,74454,West,Technology,Phones,PROD-83147,4748.20,10,0.00,1648.87
CA-2023-00052,2023-07-14,2023-07-18,Same Day,CUST-2625,Home Office,United Kingdom,City-463,Wales,78494,EMEA,Office Supplies,Paper,PROD-37235,1432.35,5,0.00,249.71
CA-2023-00053,2023-02-11,2023-02-13,Second Class,CUST-8699,Home Office,Canada,City-542,Ontario,96563,Canada,Furniture,Chairs,PROD-48175,17.06,3,0.10,3.59
CA-2023-00054,2023-12-26,2024-01-02,Standard Class,CUST-4241,Home Office,United States,City-591,Washington,47056,West,Office Supplies,Binders,PROD-65723,1382.39,5,0.30,228.65
CA-2023-00055,2023-03-14,2023-03-15,First Class,CUST-7594,Corporate,United States,City-306,Washington,44816,West,Furniture,Chairs,PROD-45683,372.74,8,0.30,13.73
CA-2023-00056,2023-02-11,2023-02-16,First Class,CUST-1339,Home Office,Canada,City-1012,Alberta,67377,Canada,Furniture,Bookcases,PROD-98117,1289.30,10,0.00,3.89
CA-2023-00057,2023-08-29,2023-09-03,Standard Class,CUST-8700,Corporate,United Kingdom,City-83,Wales,32962,EMEA,Technology,Machines,PROD-55607,1986.84,10,0.10,667.73
CA-2023-00058,2023-02-23,2023-03-02,Same Day,CUST-1601,Corporate,United Kingdom,City-658,Scotland,97835,EMEA,Furniture,Bookcases,PROD-69614,1498.41,5,0.10,398.73
CA-2023-00059,2023-03-01,2023-03-08,Same Day,CUST-9167,Home Office,United States,City-517,Colorado,52372,West,Office Supplies,Binders,PROD-91973,178.25,7,0.20,11.19
CA-2023-00060,2023-10-09,2023-10-11,Same Day,CUST-4920,Home Office,United Kingdom,City-417,England,45003,EMEA,Office Supplies,Storage,PROD-30758,27.01,2,0.30,4.70
CA-2023-00061,2023-07-28,2023-07-29,Second Class,CUST-5479,Corporate,United Kingdom,City-29,Wales,82384,EMEA,Furniture,Chairs,PROD-64459,528.57,3,0.30,16.56
CA-2023-00062,2023-10-10,2023-10-12,Standard Class,CUST-9318,Home Office,United Kingdom,City-500,Scotland,69871,EMEA,Office Supplies,Appliances,PROD-45018,255.13,2,0.10,13.51
CA-2023-00063,2023-10-24,2023-10-30,Same Day,CUST-6272,Corporate,United States,City-612,Colorado,86931,West,Office Supplies,Appliances,PROD-34727,813.89,6,0.20,56.76
CA-2023-00064,2023-04-30,2023-05-07,Same Day,CUST-3492,Corporate,Canada,City-1172,Ontario,60196,Canada,Office Supplies,Binders,PROD-74923,960.94,7,0.30,246.56
CA-2023-00065,2023-06-19,2023-06-26,Same Day,CUST-3529,Consumer,United States,City-1029,Washington,87356,West,Furniture,Bookcases,PROD-19807,326.35,1,0.10,95.27
CA-2023-00066,2023-12-21,2023-12-25,Same Day,CUST-1588,Corporate,United Kingdom,City-694,Scotland,91691,EMEA,Technology,Phones,PROD-90931,1702.46,6,0.10,498.09
CA-2023-00067,2023-02-16,2023-02-20,Second Class,CUST-1753,Home Office,United States,City-589,Washington,39817,West,Furniture,Tables,PROD-52516,698.80,8,0.00,214.21
CA-2023-00068,2023-08-09,2023-08-11,Standard Class,CUST-4945,Corporate,United States,City-735,Colorado,59131,West,Furniture,Tables,PROD-75230,219.98,3,0.20,64.21
CA-2023-00069,2023-11-23,2023-11-26,Second Class,CUST-2210,Home Office,Canada,City-476,Ontario,70443,Canada,Office Supplies,Paper,PROD-67898,2526.16,8,0.30,368.74
CA-2023-00070,2023-08-06,2023-08-12,Standard Class,CUST-6881,Corporate,United Kingdom,City-613,Wales,93746,EMEA,Office Supplies,Storage,PROD-85341,2991.80,7,0.00,20.17
CA-2023-00071,2023-12-04,2023-12-08,Second Class,CUST-4770,Home Office,United Kingdom,City-605,Wales,12875,EMEA,Office Supplies,Binders,PROD-89569,3738.60,10,0.00,931.22
CA-2023-00072,2023-05-09,2023-05-15,Second Class,CUST-6977,Home Office,United Kingdom,City-390,England,91381,EMEA,Technology,Accessories,PROD-27224,142.13,1,0.10,-12.08
CA-2023-00073,2023-03-31,2023-04-02,First Class,CUST-5835,Corporate,United States,City-670,Colorado,64460,West,Furniture,Tables,PROD-54396,356.94,3,0.10,119.69
CA-2023-00074,2023-04-26,2023-05-03,First Class,CUST-3024,Home Office,United States,City-155,New York,28449,West,Technology,Machines,PROD-69609,792.78,2,0.00,15.07
CA-2023-00075,2023-07-15,2023-07-22,Standard Class,CUST-4626,Consumer,United Kingdom,City-537,Wales,86619,EMEA,Technology,Copiers,PROD-94889,111.30,8,0.20,5.30
CA-2023-00076,2023-07-29,2023-07-30,First Class,CUST-3222,Consumer,United States,City-619,New York,95097,West,Furniture,Chairs,PROD-60940,499.84,8,0.00,149.59
CA-2023-00077,2023-10-28,2023-11-03,Second Class,CUST-7070,Corporate,United Kingdom,City-1107,Scotland,64935,EMEA,Technology,Accessories,PROD-38477,2478.00,8,0.00,-211.32
CA-2023-00078,2023-02-20,2023-02-26,Same Day,CUST-8450,Consumer,United Kingdom,City-484,Scotland,57537,EMEA,Office Supplies,Paper,PROD-22015,494.80,5,0.00,161.83
CA-2023-00079,2023-06-20,2023-06-22,Second Class,CUST-4817,Consumer,Canada,City-44,Ontario,16629,Canada,Furniture,Tables,PROD-53064,967.86,9,0.00,257.33
CA-2023-00080,2023-03-08,2023-03-13,Second Class,CUST-1258,Consumer,United States,City-568,California,28964,West,Office Supplies,Appliances,PROD-32838,37.08,3,0.00,6.12
CA-2023-00081,2023-09-27,2023-09-28,Same Day,CUST-4629,Corporate,United Kingdom,City-260,England,65176,EMEA,Technology,Phones,PROD-90623,1554.30,6,0.00,160.72
CA-2023-00082,2023-01-16,2023-01-17,Second Class,CUST-2323,Corporate,United States,City-939,Colorado,94323,West,Office Supplies,Storage,PROD-52219,2575.01,8,0.10,-172.34
CA-2023-00083,2023-05-21,2023-05-26,First Class,CUST-2874,Corporate,Canada,City-135,Ontario,26540,Canada,Technology,Copiers,PROD-95814,1837.80,8,0.10,-101.76
CA-2023-00084,2023-08-20,2023-08-22,Same Day,CUST-5176,Corporate,Canada,City-441,Alberta,66370,Canada,Office Supplies,Paper,PROD-59060,2563.12,7,0.00,235.92
CA-2023-00085,2023-02-13,2023-02-14,First Class,CUST-6400,Home Office,United States,City-138,New York,21957,West,Office Supplies,Binders,PROD-97819,672.96,3,0.20,222.40
CA-2023-00086,2023-08-05,2023-08-12,First Class,CUST-8900,Corporate,United States,City-725,New York,97207,West,Technology,Phones,PROD-39392,270.14,6,0.20,-1.15
CA-2023-00087,2023-02-28,2023-03-07,Second Class,CUST-3955,Corporate,United States,City-1140,Colorado,58176,West,Office Supplies,Appliances,PROD-45818,3254.30,10,0.30,66.23
CA-2023-00088,2023-01-04,2023-01-06,Same Day,CUST-2503,Home Office,Canada,City-696,Quebec,56009,Canada,Furniture,Tables,PROD-79531,105.32,2,0.30,35.53
CA-2023-00089,2023-06-24,2023-06-26,First Class,CUST-1815,Home Office,United States,City-860,New York,69460,West,Office Supplies,Paper,PROD-98338,3001.30,10,0.00,-90.01
CA-2023-00090,2023-08-06,2023-08-10,First Class,CUST-2816,Corporate,United States,City-908,Colorado,96761,West,Technology,Machines,PROD-47125,1514.80,4,0.00,83.81
CA-2023-00091,2023-12-08,2023-12-11,Second Class,CUST-5186,Corporate,Canada,City-997,Alberta,79066,Canada,Furniture,Chairs,PROD-47938,106.19,1,0.00,26.05
CA-2023-00092,2023-08-09,2023-08-11,Standard Class,CUST-2180,Home Office,United Kingdom,City-16,England,75193,EMEA,Furniture,Bookcases,PROD-62044,1773.89,9,0.30,466.16
CA-2023-00093,2023-08-24,2023-08-25,Same Day,CUST-6321,Home Office,Canada,City-894,Ontario,12456,Canada,Office Supplies,Storage,PROD-32527,934.35,7,0.10,-84.67
CA-2023-00094,2023-08-12,2023-08-19,Same Day,CUST-4630,Corporate,Canada,City-742,Quebec,21551,Canada,Furniture,Chairs,PROD-53655,395.37,9,0.00,93.15
CA-2023-00095,2023-02-28,2023-03-05,First Class,CUST-3842,Corporate,United States,City-1046,California,92998,West,Technology,Accessories,PROD-88957,365.85,3,0.00,5.56
CA-2023-00096,2023-09-10,2023-09-14,First Class,CUST-5961,Home Office,United States,City-363,California,92306,West,Technology,Machines,PROD-46002,478.32,6,0.00,53.10
CA-2023-00097,2023-02-07,2023-02-10,Second Class,CUST-2479,Consumer,Canada,City-721,Ontario,76497,Canada,Office Supplies,Storage,PROD-90610,2500.14,6,0.00,475.28
CA-2023-00098,2023-10-25,2023-10-30,Standard Class,CUST-2013,Corporate,Canada,City-788,Alberta,70648,Canada,Technology,Phones,PROD-69050,1461.50,6,0.20,-46.93
CA-2023-00099,2023-11-27,2023-11-29,Same Day,CUST-7108,Home Office,United States,City-173,Colorado,76132,West,Furniture,Chairs,PROD-47079,1692.22,8,0.20,-48.34
CA-2023-00100,2023-11-03,2023-11-04,First Class,CUST-3463,Consumer,United Kingdom,City-693,Scotland,98984,EMEA,Technology,Copiers,PROD-53694,506.14,2,0.10,14.10
CA-2023-00101,2023-12-02,2023-12-08,Second Class,CUST-3093,Consumer,United States,City-717,Washington,50662,West,Technology,Machines,PROD-97833,985.85,5,0.30,252.62
CA-2023-00102,2023-11-27,2023-12-03,First Class,CUST-8967,Consumer,Canada,City-1079,Alberta,22249,Canada,Office Supplies,Paper,PROD-35166,471.15,5,0.00,25.34
CA-2023-00103,2023-06-01,2023-06-08,Second Class,CUST-7172,Home Office,United States,City-318,Washington,20114,West,Furniture,Tables,PROD-30218,2106.29,6,0.20,-86.42
CA-2023-00104,2023-01-23,2023-01-27,First Class,CUST-8684,Corporate,United States,City-340,Washington,67366,West,Office Supplies,Appliances,PROD-35430,966.64,8,0.00,37.95
CA-2023-00105,2023-08-25,2023-09-01,Same Day,CUST-5096,Home Office,United Kingdom,City-1169,Wales,67749,EMEA,Office Supplies,Storage,PROD-16839,982.46,3,0.20,-37.06
CA-2023-00106,2023-02-22,2023-02-28,Second Class,CUST-8167,Corporate,Canada,City-761,Quebec,82684,Canada,Technology,Phones,PROD-22021,336.07,3,0.20,-11.32
CA-2023-00107,2023-08-01,2023-08-02,Same Day,CUST-2623,Consumer,United States,City-716,New York,13495,West,Office Supplies,Paper,PROD-95191,381.16,2,0.00,16.55
CA-2023-00108,2023-05-27,2023-06-03,Same Day,CUST-4533,Home Office,United Kingdom,City-282,England,15020,EMEA,Office Supplies,Appliances,PROD-29597,2476.80,8,0.00,-226.50
CA-2023-00109,2023-02-26,2023-03-05,Second Class,CUST-8489,Corporate,Canada,City-1081,Alberta,65476,Canada,Office Supplies,Appliances,PROD-18232,86.12,1,0.30,22.15
CA-2023-00110,2023-11-20,2023-11-25,Standard Class,CUST-7825,Home Office,United States,City-1098,New York,12154,West,Technology,Accessories,PROD-34551,869.88,5,0.20,51.12
CA-2023-00111,2023-07-04,2023-07-05,Same Day,CUST-1266,Corporate,Canada,City-176,Alberta,78614,Canada,Technology,Phones,PROD-56805,319.66,1,0.00,4.52
CA-2023-00112,2023-11-18,2023-11-19,Second Class,CUST-8612,Consumer,United States,City-494,Colorado,96127,West,Technology,Copiers,PROD-72722,1156.18,6,0.30,-24.52
CA-2023-00113,2023-08-23,2023-08-24,Standard Class,CUST-9897,Consumer,Canada,City-277,Ontario,18270,Canada,Office Supplies,Appliances,PROD-72049,161.22,1,0.00,21.27
CA-2023-00114,2023-07-02,2023-07-09,First Class,CUST-8204,Corporate,United Kingdom,City-392,England,47501,EMEA,Furniture,Tables,PROD-60678,721.21,2,0.10,216.56
CA-2023-00115,2023-07-08,2023-07-15,Same Day,CUST-6262,Consumer,United Kingdom,City-1017,England,75211,EMEA,Technology,Copiers,PROD-23447,436.30,2,0.00,63.47
CA-2023-00116,2023-08-17,2023-08-22,Same Day,CUST-6776,Consumer,United States,City-606,Colorado,50173,West,Technology,Machines,PROD-90589,950.59,6,0.30,277.11
CA-2023-00117,2023-12-10,2023-12-16,Standard Class,CUST-8179,Home Office,United Kingdom,City-118,Scotland,19835,EMEA,Office Supplies,Paper,PROD-14561,60.54,1,0.20,12.42
CA-2023-00118,2023-07-07,2023-07-10,Standard Class,CUST-2259,Home Office,United States,City-484,California,94562,West,Office Supplies,Binders,PROD-85225,3797.36,8,0.00,378.87
CA-2023-00119,2023-11-29,2023-12-02,Standard Class,CUST-5264,Consumer,United States,City-816,Colorado,51207,West,Furniture,Chairs,PROD-68493,1672.19,8,0.20,-78.61
CA-2023-00120,2023-03-04,2023-03-06,Same Day,CUST-2063,Consumer,United States,City-1006,Colorado,36237,West,Furniture,Bookcases,PROD-82089,812.40,2,0.00,162.91
CA-2023-00121,2023-12-31,2024-01-06,Standard Class,CUST-9094,Corporate,Canada,City-615,Quebec,30644,Canada,Technology,Accessories,PROD-13445,985.28,2,0.00,6.44
CA-2023-00122,2023-08-28,2023-09-04,Second Class,CUST-9612,Home Office,United Kingdom,City-1173,Wales,58353,EMEA,Technology,Accessories,PROD-63843,221.34,2,0.30,49.47
CA-2023-00123,2023-06-12,2023-06-18,First Class,CUST-3981,Corporate,United Kingdom,City-152,Wales,26426,EMEA,Furniture,Bookcases,PROD-26912,1055.02,3,0.20,198.25
CA-2023-00124,2023-09-23,2023-09-25,First Class,CUST-2292,Consumer,United Kingdom,City-114,Wales,26274,EMEA,Office Supplies,Appliances,PROD-42847,564.10,4,0.20,170.76
CA-2023-00125,2023-06-05,2023-06-10,Standard Class,CUST-6531,Home Office,United States,City-257,Colorado,91922,West,Technology,Phones,PROD-83874,4711.00,10,0.00,-108.16
CA-2023-00126,2023-11-25,2023-12-02,Standard Class,CUST-9938,Home Office,United States,City-167,California,15958,West,Technology,Copiers,PROD-47967,1478.47,10,0.30,-127.70
CA-2023-00127,2023-12-17,2023-12-21,Second Class,CUST-6573,Consumer,Canada,City-990,Quebec,42096,Canada,Office Supplies,Storage,PROD-89516,601.02,3,0.10,65.51
CA-2023-00128,2023-07-24,2023-07-26,Standard Class,CUST-2586,Corporate,United States,City-654,Colorado,55268,West,Office Supplies,Binders,PROD-16632,472.68,8,0.10,5.47
CA-2023-00129,2023-03-23,2023-03-30,Standard Class,CUST-6055,Consumer,United Kingdom,City-857,Scotland,42541,EMEA,Office Supplies,Paper,PROD-75191,3585.60,8,0.10,446.20
CA-2023-00130,2023-08-23,2023-08-25,Second Class,CUST-8710,Corporate,United States,City-806,California,76249,West,Furniture,Tables,PROD-47453,115.42,1,0.20,34.29
CA-2023-00131,2023-03-10,2023-03-13,First Class,CUST-6939,Corporate,Canada,City-221,Ontario,66482,Canada,Technology,Copiers,PROD-82512,162.63,1,0.20,24.85
CA-2023-00132,2023-08-19,2023-08-26,Second Class,CUST-6555,Home Office,United Kingdom,City-792,England,76093,EMEA,Technology,Copiers,PROD-83116,1316.71,3,0.10,89.46
CA-2023-00133,2023-09-18,2023-09-22,Second Class,CUST-3440,Consumer,United Kingdom,City-408,England,88966,EMEA,Technology,Phones,PROD-89463,967.22,3,0.10,129.32
CA-2023-00134,2023-06-13,2023-06-15,First Class,CUST-5911,Home Office,Canada,City-672,Ontario,90356,Canada,Office Supplies,Paper,PROD-72245,2988.00,9,0.20,359.85
CA-2023-00135,2023-02-26,2023-03-02,Second Class,CUST-4728,Home Office,United States,City-679,Colorado,98317,West,Technology,Copiers,PROD-16731,1679.44,10,0.30,423.73
CA-2023-00136,2023-11-19,2023-11-25,Standard Class,CUST-1310,Consumer,Canada,City-350,Quebec,78712,Canada,Technology,Machines,PROD-67807,201.89,1,0.30,-10.20
CA-2023-00137,2023-12-20,2023-12-22,Second Class,CUST-8837,Home Office,United Kingdom,City-311,Scotland,64127,EMEA,Office Supplies,Storage,PROD-78875,628.20,3,0.20,29.07
CA-2023-00138,2023-09-30,2023-10-03,First Class,CUST-5890,Home Office,United Kingdom,City-355,Scotland,70249,EMEA,Technology,Copiers,PROD-39473,2446.70,10,0.00,62.52
CA-2023-00139,2023-06-12,2023-06-16,Second Class,CUST-7464,Corporate,United Kingdom,City-425,Scotland,74094,EMEA,Office Supplies,Paper,PROD-55237,3059.37,10,0.10,927.27
CA-2023-00140,2023-02-10,2023-02-13,Same Day,CUST-5450,Home Office,United States,City-87,Colorado,47700,West,Office Supplies,Paper,PROD-27992,336.06,4,0.20,7.40
CA-2023-00141,2023-12-09,2023-12-14,Second Class,CUST-3252,Consumer,United States,City-497,Washington,16653,West,Furniture,Tables,PROD-10679,293.41,2,0.30,33.03
CA-2023-00142,2023-09-01,2023-09-05,First Class,CUST-4804,Corporate,Canada,City-834,Ontario,95575,Canada,Technology,Accessories,PROD-80143,1623.60,5,0.00,314.22
CA-2023-00143,2023-08-02,2023-08-09,Same Day,CUST-1151,Corporate,Canada,City-77,Alberta,32946,Canada,Furniture,Chairs,PROD-49110,1405.86,3,0.00,414.07
CA-2023-00144,2023-05-26,2023-05-30,Same Day,CUST-8518,Consumer,Canada,City-220,Alberta,53914,Canada,Technology,Machines,PROD-94972,502.20,5,0.00,24.51
CA-2023-00145,2023-06-22,2023-06-29,Same Day,CUST-2562,Consumer,United Kingdom,City-382,Wales,11846,EMEA,Office Supplies,Appliances,PROD-34219,1820.42,7,0.00,146.32
CA-2023-00146,2023-01-04,2023-01-07,First Class,CUST-5285,Corporate,United States,City-663,New York,42512,West,Office Supplies,Appliances,PROD-95679,648.73,6,0.30,102.37
CA-2023-00147,2023-12-08,2023-12-09,Same Day,CUST-2923,Consumer,United Kingdom,City-484,Wales,18142,EMEA,Office Supplies,Paper,PROD-93717,2910.22,9,0.30,717.16
CA-2023-00148,2023-03-10,2023-03-14,First Class,CUST-4578,Home Office,United Kingdom,City-453,Scotland,38721,EMEA,Furniture,Bookcases,PROD-42435,2220.50,7,0.10,534.71
CA-2023-00149,2023-08-17,2023-08-22,Second Class,CUST-9792,Consumer,Canada,City-168,Alberta,78879,Canada,Technology,Copiers,PROD-29641,332.19,1,0.20,-3.00
CA-2023-00150,2023-03-01,2023-03-07,Same Day,CUST-8429,Home Office,United States,City-1066,Colorado,67912,West,Furniture,Tables,PROD-27294,809.91,2,0.10,213.74
