ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual,trip_duration_sec,start_lat,start_lng,end_lat,end_lng
20240618-00026,classic_bike,2024-06-18T17:11:00,2024-06-18T18:10:13,Broadway & E 22 St,Bond St & Schermerhorn St,member,3553,40.740607,-73.9899,40.687783,-73.984773
20240626-00027,electric_bike,2024-06-26T02:01:00,2024-06-26T02:06:40,Lafayette St & E 8 St,Broadway & E 22 St,member,340,40.730128,-73.991646,40.739727,-73.989651
20240626-00028,electric_bike,2024-06-26T22:23:00,2024-06-26T22:59:06,Metropolitan Ave & Meeker Ave,W 52 St & 5 Ave,member,2166,40.713966,-73.951763,40.75823,-73.978414
20240615-00029,classic_bike,2024-06-15T16:45:00,2024-06-15T17:24:33,Lafayette St & E 8 St,Metropolitan Ave & Meeker Ave,casual,2373,40.729873,-73.991214,40.714578,-73.952261
20240622-00030,electric_bike,2024-06-22T00:42:00,2024-06-22T01:24:53,Metropolitan Ave & Meeker Ave,W 52 St & 5 Ave,member,2573,40.714376,-73.952078,40.75881,-73.979297
20240608-00031,electric_bike,2024-06-08T13:00:00,2024-06-08T13:30:03,Lafayette St & E 8 St,Broadway & E 22 St,casual,1803,40.7301,-73.991469,40.739726,-73.990171
20240606-00032,classic_bike,2024-06-06T01:14:00,2024-06-06T02:01:01,Pershing Square N,Metropolitan Ave & Meeker Ave,casual,2821,40.751916,-73.977858,40.713553,-73.951576
20240606-00033,electric_bike,2024-06-06T18:13:00,2024-06-06T18:19:32,W 52 St & 5 Ave,W 52 St & 5 Ave,casual,392,40.758944,-73.978977,40.758648,-73.979362
20240629-00034,electric_bike,2024-06-29T22:37:00,2024-06-29T22:43:47,Lafayette St & E 8 St,W 52 St & 5 Ave,member,407,40.730769,-73.991049,40.757962,-73.978509
20240629-00035,classic_bike,2024-06-29T08:28:00,2024-06-29T08:59:59,Metropolitan Ave & Meeker Ave,Broadway & E 22 St,member,1919,40.713532,-73.951043,40.740848,-73.98979
20240617-00036,classic_bike,2024-06-17T09:54:00,2024-06-17T10:53:31,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,3571,40.730206,-73.991368,40.688084,-73.984856
20240627-00037,electric_bike,2024-06-27T18:19:00,2024-06-27T18:31:16,Lafayette St & E 8 St,W 52 St & 5 Ave,casual,736,40.730406,-73.990716,40.758131,-73.978122
20240613-00038,classic_bike,2024-06-13T06:25:00,2024-06-13T06:56:35,W 52 St & 5 Ave,Lafayette St & E 8 St,member,1895,40.758272,-73.979328,40.729947,-73.991004
20240611-00039,electric_bike,2024-06-11T16:06:00,2024-06-11T16:15:42,W 52 St & 5 Ave,W 52 St & 5 Ave,casual,582,40.758889,-73.978048,40.758227,-73.978007
20240614-00040,classic_bike,2024-06-14T04:18:00,2024-06-14T04:23:23,Broadway & E 22 St,Lafayette St & E 8 St,member,323,40.740946,-73.989567,40.730744,-73.991458
20240615-00041,electric_bike,2024-06-15T06:42:00,2024-06-15T07:06:17,Pershing Square N,Bond St & Schermerhorn St,casual,1457,40.751983,-73.977417,40.688139,-73.98533
20240609-00042,classic_bike,2024-06-09T09:34:00,2024-06-09T09:47:49,Bond St & Schermerhorn St,W 52 St & 5 Ave,member,829,40.688692,-73.984375,40.758208,-73.978922
20240625-00043,classic_bike,2024-06-25T06:40:00,2024-06-25T07:00:48,Pershing Square N,Lafayette St & E 8 St,member,1248,40.751372,-73.978279,40.730004,-73.990605
20240616-00044,electric_bike,2024-06-16T21:21:00,2024-06-16T22:18:44,Pershing Square N,Metropolitan Ave & Meeker Ave,member,3464,40.751648,-73.977868,40.713917,-73.952064
20240605-00045,classic_bike,2024-06-05T15:44:00,2024-06-05T16:18:55,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,casual,2095,40.688587,-73.984738,40.713896,-73.951901
20240614-00046,electric_bike,2024-06-14T03:27:00,2024-06-14T03:42:29,Metropolitan Ave & Meeker Ave,Pershing Square N,casual,929,40.714446,-73.951872,40.751434,-73.978002
20240619-00047,electric_bike,2024-06-19T10:21:00,2024-06-19T11:10:22,Pershing Square N,Metropolitan Ave & Meeker Ave,casual,2962,40.752525,-73.977775,40.714041,-73.950981
20240621-00048,classic_bike,2024-06-21T13:06:00,2024-06-21T14:00:30,Lafayette St & E 8 St,Pershing Square N,member,3270,40.729867,-73.99196,40.751725,-73.977384
20240617-00049,classic_bike,2024-06-17T13:52:00,2024-06-17T14:15:54,Pershing Square N,W 52 St & 5 Ave,casual,1434,40.751408,-73.97782,40.759136,-73.979034
20240604-00050,classic_bike,2024-06-04T15:47:00,2024-06-04T15:57:02,Pershing Square N,Metropolitan Ave & Meeker Ave,member,602,40.75178,-73.977243,40.713496,-73.951206
20240610-00051,electric_bike,2024-06-10T01:16:00,2024-06-10T01:53:34,W 52 St & 5 Ave,Bond St & Schermerhorn St,casual,2254,40.758696,-73.978753,40.688113,-73.984452
20240628-00052,electric_bike,2024-06-28T08:12:00,2024-06-28T08:29:48,Broadway & E 22 St,Bond St & Schermerhorn St,member,1068,40.740009,-73.989028,40.687986,-73.985212
20240613-00053,electric_bike,2024-06-13T01:21:00,2024-06-13T02:19:12,Broadway & E 22 St,W 52 St & 5 Ave,member,3492,40.740708,-73.989812,40.758964,-73.979111
20240605-00054,electric_bike,2024-06-05T16:08:00,2024-06-05T16:13:07,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,member,307,40.687899,-73.985356,40.714645,-73.952124
20240605-00055,classic_bike,2024-06-05T11:16:00,2024-06-05T11:30:54,Bond St & Schermerhorn St,Pershing Square N,member,894,40.688498,-73.984203,40.752545,-73.977313
20240623-00056,electric_bike,2024-06-23T02:49:00,2024-06-23T03:31:25,W 52 St & 5 Ave,Lafayette St & E 8 St,casual,2545,40.758075,-73.978244,40.730044,-73.990642
20240608-00057,electric_bike,2024-06-08T11:09:00,2024-06-08T12:03:45,Broadway & E 22 St,Metropolitan Ave & Meeker Ave,casual,3285,40.740101,-73.989258,40.713984,-73.950924
20240622-00058,electric_bike,2024-06-22T03:06:00,2024-06-22T03:41:19,Lafayette St & E 8 St,Lafayette St & E 8 St,member,2119,40.729893,-73.990739,40.729528,-73.991033
20240607-00059,electric_bike,2024-06-07T04:24:00,2024-06-07T05:05:15,Broadway & E 22 St,Pershing Square N,member,2475,40.740679,-73.989383,40.751875,-73.977335
20240606-00060,classic_bike,2024-06-06T12:54:00,2024-06-06T13:10:41,W 52 St & 5 Ave,Bond St & Schermerhorn St,member,1001,40.758056,-73.978699,40.688106,-73.984851
20240611-00061,classic_bike,2024-06-11T08:22:00,2024-06-11T08:42:26,Bond St & Schermerhorn St,Lafayette St & E 8 St,casual,1226,40.688571,-73.98519,40.730546,-73.991638
20240622-00062,classic_bike,2024-06-22T13:51:00,2024-06-22T14:41:40,Lafayette St & E 8 St,Lafayette St & E 8 St,member,3040,40.729691,-73.991514,40.730793,-73.991278
20240601-00063,classic_bike,2024-06-01T07:27:00,2024-06-01T08:23:28,Bond St & Schermerhorn St,W 52 St & 5 Ave,member,3388,40.688067,-73.984277,40.758297,-73.978117
20240623-00064,classic_bike,2024-06-23T20:46:00,2024-06-23T20:58:11,Lafayette St & E 8 St,W 52 St & 5 Ave,casual,731,40.730386,-73.991022,40.757803,-73.978205
20240608-00065,classic_bike,2024-06-08T21:30:00,2024-06-08T21:48:51,Pershing Square N,Pershing Square N,member,1131,40.751429,-73.977481,40.751906,-73.977312
20240612-00066,electric_bike,2024-06-12T06:00:00,2024-06-12T06:58:10,W 52 St & 5 Ave,W 52 St & 5 Ave,member,3490,40.758824,-73.979133,40.75807,-73.97902
20240603-00067,classic_bike,2024-06-03T10:55:00,2024-06-03T11:38:28,Pershing Square N,Broadway & E 22 St,member,2608,40.752179,-73.977201,40.740099,-73.989296
20240626-00068,classic_bike,2024-06-26T02:20:00,2024-06-26T03:15:28,Bond St & Schermerhorn St,W 52 St & 5 Ave,member,3328,40.688676,-73.984426,40.758324,-73.978865
20240625-00069,classic_bike,2024-06-25T14:46:00,2024-06-25T15:34:04,Pershing Square N,Metropolitan Ave & Meeker Ave,casual,2884,40.751579,-73.977811,40.714754,-73.951843
20240622-00070,classic_bike,2024-06-22T01:08:00,2024-06-22T01:22:54,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,casual,894,40.714004,-73.951989,40.688394,-73.985275
20240624-00071,electric_bike,2024-06-24T02:30:00,2024-06-24T03:01:56,Pershing Square N,Pershing Square N,casual,1916,40.752176,-73.977953,40.752018,-73.977431
20240615-00072,classic_bike,2024-06-15T15:11:00,2024-06-15T15:21:09,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,casual,609,40.714707,-73.952046,40.688718,-73.984617
20240608-00073,classic_bike,2024-06-08T13:09:00,2024-06-08T13:45:33,Metropolitan Ave & Meeker Ave,Metropolitan Ave & Meeker Ave,member,2193,40.714415,-73.95167,40.713958,-73.951599
20240603-00074,classic_bike,2024-06-03T10:02:00,2024-06-03T10:11:16,Metropolitan Ave & Meeker Ave,Broadway & E 22 St,member,556,40.714631,-73.951202,40.740543,-73.989798
20240606-00075,classic_bike,2024-06-06T23:47:00,2024-06-07T00:14:30,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,1650,40.730467,-73.991445,40.687804,-73.985378
20240605-00076,electric_bike,2024-06-05T02:48:00,2024-06-05T02:55:13,Pershing Square N,Metropolitan Ave & Meeker Ave,member,433,40.751517,-73.977692,40.713991,-73.952224
20240626-00077,classic_bike,2024-06-26T13:13:00,2024-06-26T13:38:12,Metropolitan Ave & Meeker Ave,Metropolitan Ave & Meeker Ave,casual,1512,40.713556,-73.951942,40.713999,-73.950909
20240610-00078,electric_bike,2024-06-10T12:53:00,2024-06-10T13:35:54,Broadway & E 22 St,Bond St & Schermerhorn St,member,2574,40.740764,-73.989787,40.689054,-73.985252
20240624-00079,electric_bike,2024-06-24T08:32:00,2024-06-24T09:18:46,Lafayette St & E 8 St,Broadway & E 22 St,member,2806,40.730238,-73.991633,40.740089,-73.990107
20240618-00080,classic_bike,2024-06-18T22:01:00,2024-06-18T22:15:10,Broadway & E 22 St,W 52 St & 5 Ave,casual,850,40.740599,-73.989741,40.75822,-73.979166
20240603-00081,electric_bike,2024-06-03T11:21:00,2024-06-03T11:54:23,Bond St & Schermerhorn St,Broadway & E 22 St,casual,2003,40.687774,-73.98537,40.739702,-73.989183
20240625-00082,electric_bike,2024-06-25T19:47:00,2024-06-25T20:21:28,Broadway & E 22 St,Pershing Square N,casual,2068,40.740245,-73.988938,40.751425,-73.977813
20240619-00083,classic_bike,2024-06-19T13:22:00,2024-06-19T13:31:52,Broadway & E 22 St,Lafayette St & E 8 St,casual,592,40.740063,-73.990078,40.73068,-73.990927
20240604-00084,classic_bike,2024-06-04T06:20:00,2024-06-04T06:49:26,Pershing Square N,Bond St & Schermerhorn St,member,1766,40.75243,-73.977348,40.687817,-73.984309
20240606-00085,electric_bike,2024-06-06T11:24:00,2024-06-06T12:12:01,Pershing Square N,Lafayette St & E 8 St,member,2881,40.751276,-73.977302,40.730567,-73.991919
20240608-00086,electric_bike,2024-06-08T05:40:00,2024-06-08T05:58:51,Bond St & Schermerhorn St,Pershing Square N,member,1131,40.688341,-73.984146,40.751932,-73.977782
20240614-00087,electric_bike,2024-06-14T01:44:00,2024-06-14T01:48:31,Broadway & E 22 St,Metropolitan Ave & Meeker Ave,member,271,40.740722,-73.988942,40.714281,-73.951801
20240604-00088,classic_bike,2024-06-04T08:37:00,2024-06-04T09:11:01,Lafayette St & E 8 St,Bond St & Schermerhorn St,casual,2041,40.730353,-73.991907,40.688033,-73.984175
20240619-00089,classic_bike,2024-06-19T10:44:00,2024-06-19T11:12:00,Broadway & E 22 St,Broadway & E 22 St,member,1680,40.740588,-73.989605,40.739943,-73.989969
20240621-00090,classic_bike,2024-06-21T00:03:00,2024-06-21T00:47:39,W 52 St & 5 Ave,Pershing Square N,member,2679,40.758796,-73.978417,40.752348,-73.977098
20240617-00091,electric_bike,2024-06-17T17:14:00,2024-06-17T18:05:54,Broadway & E 22 St,Pershing Square N,member,3114,40.740699,-73.989481,40.751399,-73.977269
20240620-00092,electric_bike,2024-06-20T20:37:00,2024-06-20T20:39:54,Broadway & E 22 St,Broadway & E 22 St,casual,174,40.740863,-73.988962,40.7405,-73.988923
20240619-00093,classic_bike,2024-06-19T22:14:00,2024-06-19T22:54:46,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,member,2446,40.714783,-73.950896,40.689,-73.984171
20240621-00094,electric_bike,2024-06-21T00:05:00,2024-06-21T00:09:24,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,casual,264,40.758848,-73.978043,40.714449,-73.951351
20240619-00095,classic_bike,2024-06-19T07:11:00,2024-06-19T07:41:35,Metropolitan Ave & Meeker Ave,W 52 St & 5 Ave,casual,1835,40.713525,-73.951834,40.759024,-73.979173
20240629-00096,classic_bike,2024-06-29T04:07:00,2024-06-29T04:57:04,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,casual,3004,40.688098,-73.984892,40.714513,-73.951652
20240616-00097,electric_bike,2024-06-16T02:12:00,2024-06-16T02:27:47,Bond St & Schermerhorn St,Bond St & Schermerhorn St,member,947,40.688988,-73.985039,40.68784,-73.984641
20240608-00098,electric_bike,2024-06-08T04:10:00,2024-06-08T04:54:32,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,member,2672,40.714687,-73.952083,40.688195,-73.984138
20240614-00099,classic_bike,2024-06-14T21:33:00,2024-06-14T21:38:50,W 52 St & 5 Ave,W 52 St & 5 Ave,casual,350,40.757997,-73.9789,40.758687,-73.978239
20240618-00100,classic_bike,2024-06-18T20:52:00,2024-06-18T21:10:51,Metropolitan Ave & Meeker Ave,Lafayette St & E 8 St,casual,1131,40.714662,-73.951561,40.729651,-73.99189
20240603-00101,electric_bike,2024-06-03T06:32:00,2024-06-03T06:51:27,W 52 St & 5 Ave,Lafayette St & E 8 St,casual,1167,40.758371,-73.978202,40.730284,-73.991302
20240626-00102,classic_bike,2024-06-26T22:01:00,2024-06-26T22:28:31,Lafayette St & E 8 St,Bond St & Schermerhorn St,casual,1651,40.730298,-73.991743,40.687765,-73.984758
20240630-00103,classic_bike,2024-06-30T22:06:00,2024-06-30T22:41:28,Bond St & Schermerhorn St,Broadway & E 22 St,casual,2128,40.687757,-73.98469,40.740055,-73.989559
20240607-00104,electric_bike,2024-06-07T04:13:00,2024-06-07T04:28:34,Bond St & Schermerhorn St,Pershing Square N,casual,934,40.688375,-73.984081,40.75196,-73.978233
20240602-00105,electric_bike,2024-06-02T10:17:00,2024-06-02T10:40:08,Metropolitan Ave & Meeker Ave,Broadway & E 22 St,member,1388,40.71478,-73.951778,40.739935,-73.990154
20240607-00106,classic_bike,2024-06-07T11:12:00,2024-06-07T11:23:53,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,713,40.729711,-73.990591,40.688984,-73.984714
20240617-00107,classic_bike,2024-06-17T10:32:00,2024-06-17T11:21:51,Lafayette St & E 8 St,Metropolitan Ave & Meeker Ave,member,2991,40.730229,-73.991506,40.713864,-73.951438
20240606-00108,classic_bike,2024-06-06T01:18:00,2024-06-06T01:48:43,Pershing Square N,Bond St & Schermerhorn St,casual,1843,40.751982,-73.977895,40.688568,-73.984545
20240617-00109,classic_bike,2024-06-17T10:48:00,2024-06-17T11:00:20,Broadway & E 22 St,Lafayette St & E 8 St,casual,740,40.740197,-73.989355,40.729994,-73.991279
20240606-00110,classic_bike,2024-06-06T04:11:00,2024-06-06T05:03:31,W 52 St & 5 Ave,Bond St & Schermerhorn St,member,3151,40.758849,-73.979335,40.688043,-73.985179
20240604-00111,classic_bike,2024-06-04T03:02:00,2024-06-04T03:41:54,Bond St & Schermerhorn St,Pershing Square N,member,2394,40.6887,-73.985363,40.752118,-73.977543
20240607-00112,classic_bike,2024-06-07T02:41:00,2024-06-07T03:01:10,Pershing Square N,W 52 St & 5 Ave,casual,1210,40.751998,-73.977763,40.759097,-73.978945
20240630-00113,electric_bike,2024-06-30T22:30:00,2024-06-30T23:09:29,W 52 St & 5 Ave,Bond St & Schermerhorn St,casual,2369,40.758797,-73.978337,40.689108,-73.984146
20240618-00114,classic_bike,2024-06-18T10:29:00,2024-06-18T11:20:59,Lafayette St & E 8 St,Bond St & Schermerhorn St,member,3119,40.730247,-73.991416,40.687741,-73.984348
20240630-00115,classic_bike,2024-06-30T19:28:00,2024-06-30T20:08:22,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,casual,2422,40.758031,-73.978681,40.713753,-73.952245
20240613-00116,classic_bike,2024-06-13T04:38:00,2024-06-13T05:05:11,Broadway & E 22 St,Lafayette St & E 8 St,member,1631,40.739765,-73.990171,40.730235,-73.990933
20240603-00117,electric_bike,2024-06-03T00:53:00,2024-06-03T01:52:39,Pershing Square N,Metropolitan Ave & Meeker Ave,member,3579,40.751766,-73.978301,40.714127,-73.951405
20240624-00118,electric_bike,2024-06-24T08:54:00,2024-06-24T09:34:17,Metropolitan Ave & Meeker Ave,Broadway & E 22 St,member,2417,40.714419,-73.951278,40.740688,-73.98947
20240620-00119,electric_bike,2024-06-20T08:35:00,2024-06-20T09:18:35,Bond St & Schermerhorn St,Bond St & Schermerhorn St,casual,2615,40.688033,-73.98483,40.688858,-73.984573
20240601-00120,classic_bike,2024-06-01T11:40:00,2024-06-01T11:43:49,W 52 St & 5 Ave,W 52 St & 5 Ave,casual,229,40.758216,-73.978177,40.759136,-73.978886
20240625-00121,classic_bike,2024-06-25T14:49:00,2024-06-25T14:51:04,Bond St & Schermerhorn St,Broadway & E 22 St,member,124,40.689046,-73.984708,40.740258,-73.989439
20240626-00122,electric_bike,2024-06-26T09:46:00,2024-06-26T09:53:20,Pershing Square N,Lafayette St & E 8 St,member,440,40.751811,-73.977097,40.729861,-73.99173
20240604-00123,classic_bike,2024-06-04T22:30:00,2024-06-04T22:43:30,Lafayette St & E 8 St,W 52 St & 5 Ave,member,810,40.729741,-73.990868,40.758089,-73.979151
20240601-00124,classic_bike,2024-06-01T16:00:00,2024-06-01T16:43:18,Metropolitan Ave & Meeker Ave,Pershing Square N,member,2598,40.713624,-73.951137,40.751464,-73.977486
20240624-00125,electric_bike,2024-06-24T08:58:00,2024-06-24T09:19:57,W 52 St & 5 Ave,W 52 St & 5 Ave,member,1317,40.758531,-73.978373,40.759139,-73.978667
20240628-00126,classic_bike,2024-06-28T09:01:00,2024-06-28T09:36:54,Bond St & Schermerhorn St,Pershing Square N,casual,2154,40.688525,-73.984367,40.752058,-73.977817
20240605-00127,electric_bike,2024-06-05T14:12:00,2024-06-05T14:51:54,W 52 St & 5 Ave,W 52 St & 5 Ave,casual,2394,40.75803,-73.978078,40.757803,-73.978674
20240603-00128,electric_bike,2024-06-03T15:24:00,2024-06-03T16:21:28,Broadway & E 22 St,Bond St & Schermerhorn St,casual,3448,40.740966,-73.9896,40.689053,-73.985106
20240606-00129,electric_bike,2024-06-06T15:59:00,2024-06-06T16:01:36,W 52 St & 5 Ave,Lafayette St & E 8 St,casual,156,40.75908,-73.979152,40.730752,-73.990769
20240614-00130,electric_bike,2024-06-14T19:21:00,2024-06-14T19:50:15,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,member,1755,40.71476,-73.952245,40.68816,-73.984208
20240605-00131,classic_bike,2024-06-05T22:57:00,2024-06-05T23:03:13,Metropolitan Ave & Meeker Ave,Metropolitan Ave & Meeker Ave,member,373,40.714046,-73.951506,40.714252,-73.951593
20240602-00132,electric_bike,2024-06-02T10:35:00,2024-06-02T10:53:48,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,member,1128,40.75904,-73.978751,40.714358,-73.951345
20240601-00133,electric_bike,2024-06-01T19:27:00,2024-06-01T19:31:26,Metropolitan Ave & Meeker Ave,W 52 St & 5 Ave,casual,266,40.713434,-73.951103,40.757792,-73.978311
20240616-00134,electric_bike,2024-06-16T17:06:00,2024-06-16T17:23:52,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,member,1072,40.758418,-73.978146,40.71388,-73.951991
20240627-00135,classic_bike,2024-06-27T13:34:00,2024-06-27T13:42:37,W 52 St & 5 Ave,Pershing Square N,casual,517,40.757898,-73.979034,40.751696,-73.97765
20240620-00136,classic_bike,2024-06-20T04:01:00,2024-06-20T04:18:16,Metropolitan Ave & Meeker Ave,Bond St & Schermerhorn St,member,1036,40.714461,-73.950967,40.688062,-73.984101
20240601-00137,classic_bike,2024-06-01T17:40:00,2024-06-01T18:05:47,Pershing Square N,Pershing Square N,member,1547,40.752478,-73.977318,40.752271,-73.977205
20240630-00138,classic_bike,2024-06-30T22:53:00,2024-06-30T23:22:48,Metropolitan Ave & Meeker Ave,Pershing Square N,member,1788,40.714158,-73.951895,40.751905,-73.978393
20240624-00139,classic_bike,2024-06-24T03:19:00,2024-06-24T03:51:48,Metropolitan Ave & Meeker Ave,Lafayette St & E 8 St,member,1968,40.71409,-73.952031,40.729911,-73.990847
20240608-00140,electric_bike,2024-06-08T03:41:00,2024-06-08T04:25:23,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,casual,2663,40.68897,-73.984523,40.714109,-73.952232
20240605-00141,electric_bike,2024-06-05T20:54:00,2024-06-05T21:01:15,W 52 St & 5 Ave,Pershing Square N,casual,435,40.758596,-73.979085,40.751501,-73.977563
20240621-00142,classic_bike,2024-06-21T06:38:00,2024-06-21T07:08:41,Broadway & E 22 St,Lafayette St & E 8 St,casual,1841,40.740374,-73.98957,40.730669,-73.990934
20240616-00143,electric_bike,2024-06-16T15:08:00,2024-06-16T15:10:33,Bond St & Schermerhorn St,Pershing Square N,member,153,40.687988,-73.984399,40.751674,-73.977791
20240624-00144,classic_bike,2024-06-24T06:23:00,2024-06-24T07:05:44,Metropolitan Ave & Meeker Ave,Metropolitan Ave & Meeker Ave,member,2564,40.71411,-73.951752,40.713873,-73.951982
20240614-00145,electric_bike,2024-06-14T12:53:00,2024-06-14T13:36:39,Bond St & Schermerhorn St,Metropolitan Ave & Meeker Ave,member,2619,40.688775,-73.984963,40.714205,-73.951275
20240614-00146,electric_bike,2024-06-14T02:00:00,2024-06-14T02:24:41,W 52 St & 5 Ave,Pershing Square N,member,1481,40.757974,-73.978296,40.751618,-73.977029
20240612-00147,electric_bike,2024-06-12T14:37:00,2024-06-12T14:52:12,Lafayette St & E 8 St,Lafayette St & E 8 St,member,912,40.730663,-73.99163,40.730878,-73.991403
20240625-00148,electric_bike,2024-06-25T07:34:00,2024-06-25T07:41:31,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,member,451,40.758486,-73.978362,40.713865,-73.951306
20240611-00149,electric_bike,2024-06-11T12:46:00,2024-06-11T13:10:31,W 52 St & 5 Ave,Metropolitan Ave & Meeker Ave,casual,1471,40.758796,-73.978529,40.713487,-73.95155
